Feature,Model Importance,Relative Importance (%),Rank_Model,Mean |SHAP Value|,Rank_SHAP,Permutation Importance,Rank_Permutation
tenure,1.2322723845384613,100.0,1,1.0963606455613293,1,0.10182310212220483,1
Contract_Two year,1.2162448245823039,98.69934925449454,2,0.4445833026065986,3,-0.005027773821392934,50
PhoneService_Yes,0.5616314004068161,45.576887663288105,3,0.09528215495891551,16,-1.4242985329682157e-05,38
TotalCharges,0.5409140222386823,43.89565399871213,4,0.45675011121604503,2,0.01576698476000572,2
InternetService_DSL,0.5200381473740171,42.201558186244156,5,0.25031752169400295,5,0.008887622845748488,3
Contract_One year,0.42065248367331504,34.13632318238369,6,0.15417234063701613,10,0.004828372026776861,5
TechSupport_No internet service,0.39485080261049327,32.04249381587674,7,0.11650263860874081,15,-0.0009400370317618311,45
StreamingMovies_Yes,0.3316100348007332,26.910449261178186,8,0.16212807092418122,8,0.0024070645207235676,9
PaymentMethod_Electronic check,0.3309756030212306,26.85896455800193,9,0.14268909322273934,14,0.001951288990172373,10
PaperlessBilling_No,0.32101532832858515,26.050679407931316,10,0.15455921035208067,9,-0.0007976071784645655,44
StreamingTV_Yes,0.30114541168372505,24.438217999709284,11,0.1443692218806275,13,0.002592223330010002,8
InternetService_Fiber optic,0.29865200638160794,24.23587594178424,12,0.14646411642406088,11,0.002991026919242301,6
Contract_Month-to-month,0.2906527445078963,23.58672872611344,13,0.14560994600409466,12,-0.003973792906993267,49
SecurityRisk,0.2693535157374246,21.858277367654313,14,0.25858312081119705,4,0.0075630252100840735,4
TotalServices,0.20528043406498594,16.65868980273158,15,0.1785287741000913,7,0.0019228030195129419,11
StreamingUser,0.19646633244137712,15.943417616630445,16,0.19655749131630812,6,0.00283435408061532,7
OnlineBackup_No,0.17464555324237444,14.172641977024151,17,0.08796529116900184,17,-0.0007406352371456704,43
Dependents_Yes,0.1671692513573304,13.56593342955928,18,0.07358089957728324,19,-0.0009400370317618423,46
MultipleLines_No,0.162488913191089,13.186119824631795,19,0.08091466496857558,18,0.0004415325452215013,15
SeniorCitizen,0.08982692209712863,7.289534621095371,20,0.06750849805033853,20,0.0011109528557186055,12
DeviceProtection_No,0.08672920240348028,7.038151912814639,21,0.04252757360526142,21,-0.0011109528557185278,47
PaymentMethod_Credit card (automatic),0.07322425062762786,5.942213064772483,22,0.025413226569840932,23,0.0005269904571998718,14
PaymentMethod_Mailed check,0.06118865985957369,4.965514169376721,23,0.021584406525338308,24,-0.0006409343398375955,42
OnlineSecurity_No,0.053705904808481836,4.358281941747562,24,0.026859224850038034,22,-0.001481270474291385,48
DeviceProtection_Yes,0.0380959628681806,3.09152126966224,25,0.018339237000272103,25,0.0008545791197835384,13
OnlineBackup_Yes,0.02107348406981353,1.7101319752212456,26,0.009433062953962762,27,-0.00021364477994583185,40
gender_Female,0.02091844299155881,1.6975502538258747,27,0.010471943579753574,26,-0.00022788776527555844,41
OnlineSecurity_Yes,0.005484719760829186,0.4450898867528747,28,0.002369514552477376,28,-1.4242985329715464e-05,39
Partner_Yes,0.004632483082913441,0.37593012235265694,29,0.0023205368647538447,29,0.0002421307506053516,16
Partner_No,0.0,0.0,30,0.0,30,0.0,17
AvgMonthlySpend,0.0,0.0,30,0.0,30,0.0,17
MonthlyCharges,0.0,0.0,30,0.0,30,0.0,17
HighValueCustomer,0.0,0.0,30,0.0,30,0.0,17
Dependents_No,0.0,0.0,30,0.0,30,0.0,17
PhoneService_No,0.0,0.0,30,0.0,30,0.0,17
gender_Male,0.0,0.0,30,0.0,30,0.0,17
OnlineBackup_No internet service,0.0,0.0,30,0.0,30,0.0,17
DeviceProtection_No internet service,0.0,0.0,30,0.0,30,0.0,17
MultipleLines_No phone service,0.0,0.0,30,0.0,30,0.0,17
MultipleLines_Yes,0.0,0.0,30,0.0,30,0.0,17
InternetService_No,0.0,0.0,30,0.0,30,0.0,17
OnlineSecurity_No internet service,0.0,0.0,30,0.0,30,0.0,17
TechSupport_No,0.0,0.0,30,0.0,30,0.0,17
StreamingMovies_No,0.0,0.0,30,0.0,30,0.0,17
StreamingTV_No,0.0,0.0,30,0.0,30,0.0,17
StreamingTV_No internet service,0.0,0.0,30,0.0,30,0.0,17
TechSupport_Yes,0.0,0.0,30,0.0,30,0.0,17
StreamingMovies_No internet service,0.0,0.0,30,0.0,30,0.0,17
PaperlessBilling_Yes,0.0,0.0,30,0.0,30,0.0,17
PaymentMethod_Bank transfer (automatic),0.0,0.0,30,0.0,30,0.0,17
