Feature,Importance,Relative Importance (%)
tenure,1.2322723845384613,100.0
Contract_Two year,1.2162448245823039,98.69934925449454
PhoneService_Yes,0.5616314004068161,45.576887663288105
TotalCharges,0.5409140222386823,43.89565399871213
InternetService_DSL,0.5200381473740171,42.201558186244156
Contract_One year,0.42065248367331504,34.13632318238369
TechSupport_No internet service,0.39485080261049327,32.04249381587674
StreamingMovies_Yes,0.3316100348007332,26.910449261178186
PaymentMethod_Electronic check,0.3309756030212306,26.85896455800193
PaperlessBilling_No,0.32101532832858515,26.050679407931316
StreamingTV_Yes,0.30114541168372505,24.438217999709284
InternetService_Fiber optic,0.29865200638160794,24.23587594178424
Contract_Month-to-month,0.2906527445078963,23.58672872611344
SecurityRisk,0.2693535157374246,21.858277367654313
TotalServices,0.20528043406498594,16.65868980273158
StreamingUser,0.19646633244137712,15.943417616630445
OnlineBackup_No,0.17464555324237444,14.172641977024151
Dependents_Yes,0.1671692513573304,13.56593342955928
MultipleLines_No,0.162488913191089,13.186119824631795
SeniorCitizen,0.08982692209712863,7.289534621095371
DeviceProtection_No,0.08672920240348028,7.038151912814639
PaymentMethod_Credit card (automatic),0.07322425062762786,5.942213064772483
PaymentMethod_Mailed check,0.06118865985957369,4.965514169376721
OnlineSecurity_No,0.053705904808481836,4.358281941747562
DeviceProtection_Yes,0.0380959628681806,3.09152126966224
OnlineBackup_Yes,0.02107348406981353,1.7101319752212456
gender_Female,0.02091844299155881,1.6975502538258747
OnlineSecurity_Yes,0.005484719760829186,0.4450898867528747
Partner_Yes,0.004632483082913441,0.37593012235265694
Partner_No,0.0,0.0
AvgMonthlySpend,0.0,0.0
MonthlyCharges,0.0,0.0
HighValueCustomer,0.0,0.0
Dependents_No,0.0,0.0
PhoneService_No,0.0,0.0
gender_Male,0.0,0.0
OnlineBackup_No internet service,0.0,0.0
DeviceProtection_No internet service,0.0,0.0
MultipleLines_No phone service,0.0,0.0
MultipleLines_Yes,0.0,0.0
InternetService_No,0.0,0.0
OnlineSecurity_No internet service,0.0,0.0
TechSupport_No,0.0,0.0
StreamingMovies_No,0.0,0.0
StreamingTV_No,0.0,0.0
StreamingTV_No internet service,0.0,0.0
TechSupport_Yes,0.0,0.0
StreamingMovies_No internet service,0.0,0.0
PaperlessBilling_Yes,0.0,0.0
PaymentMethod_Bank transfer (automatic),0.0,0.0
