Feature,Importance Mean,Importance Std
tenure,0.10182310212220483,0.002431716026598171
TotalCharges,0.01576698476000572,0.0019056347917086982
InternetService_DSL,0.008887622845748488,0.001101784908463968
SecurityRisk,0.0075630252100840735,0.001149100894546632
Contract_One year,0.004828372026776861,0.0017896921753423397
InternetService_Fiber optic,0.002991026919242301,0.0014370600490675807
StreamingUser,0.00283435408061532,0.0014220891566506758
StreamingTV_Yes,0.002592223330010002,0.0016361464726704757
StreamingMovies_Yes,0.0024070645207235676,0.0012407757683960685
PaymentMethod_Electronic check,0.001951288990172373,0.0011728646560911738
TotalServices,0.0019228030195129419,0.0020808899204158974
SeniorCitizen,0.0011109528557186055,0.0006551773251673515
DeviceProtection_Yes,0.0008545791197835384,0.00047238638233235055
PaymentMethod_Credit card (automatic),0.0005269904571998718,0.0007644914912587818
MultipleLines_No,0.0004415325452215013,0.0012109888357213954
Partner_Yes,0.0002421307506053516,0.0001807232237637205
AvgMonthlySpend,0.0,0.0
MonthlyCharges,0.0,0.0
PaymentMethod_Bank transfer (automatic),0.0,0.0
StreamingMovies_No internet service,0.0,0.0
StreamingMovies_No,0.0,0.0
PhoneService_No,0.0,0.0
gender_Male,0.0,0.0
Partner_No,0.0,0.0
HighValueCustomer,0.0,0.0
Dependents_No,0.0,0.0
DeviceProtection_No internet service,0.0,0.0
TechSupport_No,0.0,0.0
StreamingTV_No internet service,0.0,0.0
MultipleLines_Yes,0.0,0.0
InternetService_No,0.0,0.0
OnlineSecurity_No internet service,0.0,0.0
OnlineBackup_No internet service,0.0,0.0
MultipleLines_No phone service,0.0,0.0
StreamingTV_No,0.0,0.0
TechSupport_Yes,0.0,0.0
PaperlessBilling_Yes,0.0,0.0
PhoneService_Yes,-1.4242985329682157e-05,0.001109582492725402
OnlineSecurity_Yes,-1.4242985329715464e-05,0.00018515880928642912
OnlineBackup_Yes,-0.00021364477994583185,0.00047772425099696324
gender_Female,-0.00022788776527555844,0.0003614464475273955
PaymentMethod_Mailed check,-0.0006409343398375955,0.0003939415093558992
OnlineBackup_No,-0.0007406352371456704,0.0008373131153225567
PaperlessBilling_No,-0.0007976071784645655,0.0019982862734420196
TechSupport_No internet service,-0.0009400370317618311,0.0012122445709131513
Dependents_Yes,-0.0009400370317618423,0.000748807259825957
DeviceProtection_No,-0.0011109528557185278,0.0011047269294781395
OnlineSecurity_No,-0.001481270474291385,0.00047324448727632617
Contract_Month-to-month,-0.003973792906993267,0.0013261282551208567
Contract_Two year,-0.005027773821392934,0.001480242979561467
