Feature,Mean |SHAP Value|
tenure,1.0963606455613293
TotalCharges,0.45675011121604503
Contract_Two year,0.4445833026065986
SecurityRisk,0.25858312081119705
InternetService_DSL,0.25031752169400295
StreamingUser,0.19655749131630812
TotalServices,0.1785287741000913
StreamingMovies_Yes,0.16212807092418122
PaperlessBilling_No,0.15455921035208067
Contract_One year,0.15417234063701613
InternetService_Fiber optic,0.14646411642406088
Contract_Month-to-month,0.14560994600409466
StreamingTV_Yes,0.1443692218806275
PaymentMethod_Electronic check,0.14268909322273934
TechSupport_No internet service,0.11650263860874081
PhoneService_Yes,0.09528215495891551
OnlineBackup_No,0.08796529116900184
MultipleLines_No,0.08091466496857558
Dependents_Yes,0.07358089957728324
SeniorCitizen,0.06750849805033853
DeviceProtection_No,0.04252757360526142
OnlineSecurity_No,0.026859224850038034
PaymentMethod_Credit card (automatic),0.025413226569840932
PaymentMethod_Mailed check,0.021584406525338308
DeviceProtection_Yes,0.018339237000272103
gender_Female,0.010471943579753574
OnlineBackup_Yes,0.009433062953962762
OnlineSecurity_Yes,0.002369514552477376
Partner_Yes,0.0023205368647538447
Partner_No,0.0
AvgMonthlySpend,0.0
MonthlyCharges,0.0
HighValueCustomer,0.0
Dependents_No,0.0
PhoneService_No,0.0
gender_Male,0.0
OnlineBackup_No internet service,0.0
DeviceProtection_No internet service,0.0
MultipleLines_No phone service,0.0
MultipleLines_Yes,0.0
InternetService_No,0.0
OnlineSecurity_No internet service,0.0
TechSupport_No,0.0
StreamingMovies_No,0.0
StreamingTV_No,0.0
StreamingTV_No internet service,0.0
TechSupport_Yes,0.0
StreamingMovies_No internet service,0.0
PaperlessBilling_Yes,0.0
PaymentMethod_Bank transfer (automatic),0.0
